X,Y,id,NUMR_GITE,NOM_GITE,NUMR_CORPS,NOM_CORPS,IDNT_CORPS,CODE_ETAT,ETAT_CORPS,FUS_UTM,ESTN,NORD,NUMR_SNRC,DECV_AN,SUBST_PRIN,SUBST_P2,SUBST_P3,SUBST_P4,SUBST_P5,SUBST_P6,SUBST_P7,SUBST_P8,SUBST_P9,SUBST_P10,SUBST_P11,SUBST_P12,SUBST_SECN,SUBST_S2,SUBST_S3,SUBST_S4,SUBST_S5,SUBST_S6,SUBST_S7,SUBST_S8,SUBST_S9,SUBST_S10,SUBST_S11,SUBST_S12,CODE_TYPL,TYPL,CODE_LIT1,ROCHE_LIT1,CODE_LIT2,ROCHE_LIT2,CODE_LIT3,ROCHE_LIT3,CODE_LIT4,ROCHE_LIT4,CODE_LIT5,ROCHE_LIT5,CODE_LIT6,ROCHE_LIT6,CODE_LIT7,ROCHE_LIT7,CODE_LIT8,ROCHE_LIT8,MINR1,MINR2,MINR3,MINR4,MINR5,MINR6,MINR7,MINR8,MINR9,MINR10,MINR11,MINR12,MINR13,MINR14,MINR15,MINR16,MINR17,MINR18,MINR19,MINR20,MINR21,MINR22,MINR23,MINR24,MINR25,CODE_FORM,DESCR_FORM,CODE_DIST,DESCR_DIST,CODE_IMPR,DESCR_IMPR,CODE_TYPE,DESCR_TYPE,RESS_ESTIM,LIEN_FICHE,CODE_SYMBL
-74.3797176049999,50.9077981770001,0,3711,Lac la Fourche-Nord (Icon),2934,Lac la Fourche-Nord (Icon),1,I,"Showing, no work",18,543611,5639755,32J16,"1964",Au,Cu,,,,,,,,,,,Ag,,,,,,,,,,,,"1520",Orogenic auriferous veins,R1A,,I3A,,V3B,,,,,,,,,,,,PO,CP,Au,Ag,PY,QZ,,,,,,,,,,,,,,,,,,,,TR,Regular tabular,D,Disseminated,MJ,Major,F,In fault or shear,N,,GMAU_I
-74.4958057269999,50.9881849700001,0,3712,Troilus-Grid J1,2935,Troilus-Grid J1,1,P,Worked deposit,18,535388,5648632,32J16,"1989",Au,Cu,,,,,,,,,,,Ag,Zn,,,,,,,,,,,"1520",Orogenic auriferous veins,R1A,,V2,,I1,,,,,,,,,,,,QZ,PY,PO,CP,,,,,,,,,,,,,,,,,,,,,,TR,Regular tabular,A,Disseminated to massive,MJ,Major,F,In fault or shear,N,,GMAU_P
-74.4965057289999,50.9985474440001,0,3716,Zone de Brèche,2939,Zone de Brèche,1,I,"Showing, no work",18,535331,5649784,32J16,"2000",Au,,,,,,,,,,,,Ag,,,,,,,,,,,,"9999",Type of deposits indeterminate,R3,,I2J,,,,,,,,,,,,,,AM,PO,SR,BO,PY,CP,,,,,,,,,,,,,,,,,,,,TR,Regular tabular,D,Disseminated,MJ,Major,F,In fault or shear,N,,GMAU_I
-74.5704741199999,50.847954771,0,3812,"Troïlus Free Gold (Muscocho), Golden Ba",3050,"Troïlus Free Gold (Muscocho), Golden Ba",1,P,Worked deposit,18,530238,5633005,32J15,"1966",Au,Cu,Ag,,,,,,,,,,Zn,,,,,,,,,,,,"1910",Cu-Au-Mo deposits ass. with porphyry intrusions,R1A,,V2,,V3F,,I3A,,I1D,,,,,,,,QZ,CP,PY,Au,CB,PO,,,,,,,,,,,,,,,,,,,,TR,Regular tabular,A,Disseminated to massive,MJ,Major,F,In fault or shear,O,https://sigeom.mines.gouv.qc.ca/signet/classes/I1103_index?format=COMPLET&type_reqt=U&mode=NOUVELLE&l=A&entt=GM&alias_table_crit=F4E02&mnen_crit=NUMR_INTER&oper_crit=EGAL&valr_crit=3050,GMAU_P
-74.5519697709999,50.847471532,0,3814,"Lac Dauphin (Auromis, Khaan, Bronto)",3052,"Lac Dauphin (Auromis, Khaan, Bronto)",1,P,Worked deposit,18,531541,5632959,32J15,"1958",Au,Ag,Cu,Zn,,,,,,,,,,,,,,,,,,,,,"1520",Orogenic auriferous veins,R1A,,I1D,,I3A,,,,,,,,,,,,QZ,PG,SR,SP,Ag,PY,CP,BN,MO,MC,PO,,,,,,,,,,,,,,,TR,Regular tabular,A,Disseminated to massive,IN,Indeterminate,F,In fault or shear,N,,GMAU_P
-74.5117452239999,50.979026273,0,3822,Zone 86 Sud (KN-86-20),3060,Zone 86 Sud (KN-86-20),1,P,Worked deposit,18,534276,5647606,32J15,"1986",Au,Zn,Cu,,,,,,,,,,,,,,,,,,,,,,"640",Sulfides Au associated with volcanic rocks,V1,,V2,,I1,,,,,,,,,,,,FC,QZ,SR,PY,PO,SP,,,,,,,,,,,,,,,,,,,,TR,Regular tabular,D,Disseminated,IN,Indeterminate,O,Stratification (deposit concordant with),N,,GMAU_P
-74.5163231419999,50.8632464770001,0,3823,Lac Testard-Ouest,3061,Lac Testard-Ouest,1,P,Worked deposit,18,534039,5634729,32J15,"1989",Au,Ag,,,,,,,,,,,Cu,,,,,,,,,,,,"1520",Orogenic auriferous veins,R1A,,I3,,,,,,,,,,,,,,MC,PY,CB,QZ,CP,HM,,,,,,,,,,,,,,,,,,,,TR,Regular tabular,D,Disseminated,MJ,Major,F,In fault or shear,N,,GMAU_P
-74.5686149709999,50.8708704840001,0,3825,Occurrence B,3063,Occurrence B,1,I,"Showing, no work",18,530354,5635554,32J15,"1985",Au,Cu,,,,,,,,,,,,,,,,,,,,,,,"1520",Orogenic auriferous veins,R1A,,S6G,,V3B,,I3A,,V1,,,,,,,,QZ,CB,PO,PY,CP,,,,,,,,,,,,,,,,,,,,,TR,Regular tabular,D,Disseminated,MJ,Major,V,Vein,N,,GMAU_I
-74.6152370119999,50.8613662700001,0,3827,Occurrence D,3065,Occurrence D,1,I,"Showing, no work",18,527079,5634479,32J15,"1985",Au,Cu,,,,,,,,,,,Ag,,,,,,,,,,,,"1700",Veins copper,R1A,,I1D,,I1E,,,,,,,,,,,,PY,MO,CP,QZ,BN,,,,,,,,,,,,,,,,,,,,,TR,Regular tabular,D,Disseminated,MJ,Major,V,Vein,N,,GMAU_I
-74.6292282009999,50.9335779500001,0,3831,Lac Troïlus-Nord (tranchée T-38),3069,Lac Troïlus-Nord (tranchée T-38),1,P,Worked deposit,18,526054,5642504,32J15,"1987",Au,,,,,,,,,,,,Ag,,,,,,,,,,,,"1520",Orogenic auriferous veins,R1A,,S,,,,,,,,,,,,,,QZ,PO,PY,,,,,,,,,,,,,,,,,,,,,,,TR,Regular tabular,D,Disseminated,IN,Indeterminate,V,Vein,N,,GMAU_P
-74.6046252289999,50.9400169100001,0,3832,Lac Troïlus-Nord (sondage 87-TN-05),3070,Lac Troïlus-Nord (sondage 87-TN-05),1,P,Worked deposit,18,527779,5643229,32J15,"1987",Au,Cu,,,,,,,,,,,Ag,,,,,,,,,,,,"9999",Type of deposits indeterminate,R1A,,V2,,V3B,,,,,,,,,,,,CB,CP,AS,QZ,PO,,,,,,,,,,,,,,,,,,,,,TR,Regular tabular,D,Disseminated,MJ,Major,V,Vein,N,,GMAU_P
-74.5451249879999,50.9684058700001,0,3842,Inmet TN-19,3080,Inmet TN-19,1,P,Worked deposit,18,531940,5646410,32J15,"1997",Au,,,,,,,,,,,,Ag,,,,,,,,,,,,"1520",Orogenic auriferous veins,R1,,V3B,,V2,,,,,,,,,,,,PY,QZ,CP,PO,,,,,,,,,,,,,,,,,,,,,,LI,Irregular lenticular,D,Disseminated,MJ,Major,V,Vein,N,,GMAU_P
-74.5090375609999,50.991289812,0,3843,Zone 86 Nord (Inmet TN-24),3081,Zone 86 Nord (Inmet TN-24),1,P,Worked deposit,18,534457,5648971,32J15,"1998",Au,,,,,,,,,,,,Ag,Zn,,,,,,,,,,,"640",Sulfides Au associated with volcanic rocks,V2,,V1B,,I2J,,,,,,,,,,,,SR,PO,MG,CP,PY,SP,BO,,,,,,,,,,,,,,,,,,,TR,Regular tabular,I,Irregular,IN,Indeterminate,O,Stratification (deposit concordant with),N,,GMAU_P
-74.7274352759999,50.8410888080001,0,3846,Diléo-Or,3084,Diléo-Or,1,I,"Showing, no work",18,519191,5632189,32J15,"1994",Au,Cu,,,,,,,,,,,Ag,,,,,,,,,,,,"1520",Orogenic auriferous veins,R1A,,M8,,I3A,,V3B,,,,,,,,,,CL,QZ,CP,PO,,,,,,,,,,,,,,,,,,,,,,TR,Regular tabular,D,Disseminated,MJ,Major,F,In fault or shear,N,,GMAU_I
-74.5091115669999,50.985624794,0,3847,Zone SW 2000,3086,Zone SW 2000,1,P,Worked deposit,18,534456,5648341,32J15,"1999",Au,Ag,,,,,,,,,,,Zn,Pb,Cu,,,,,,,,,,"9999",Type of deposits indeterminate,R3,,I2J,,I1,,,,,,,,,,,,SR,PO,CP,PY,,,,,,,,,,,,,,,,,,,,,,TR,Regular tabular,D,Disseminated,MJ,Major,F,In fault or shear,N,,GMAU_P
-74.3776112279999,50.6193194020001,0,5022,Boulder Lake (Zone C),4299,Boulder Lake (Zone C),1,I,"Showing, no work",18,544029,5607678,32J09,"1992",Au,,,,,,,,,,,,,,,,,,,,,,,,"9999",Type of deposits indeterminate,V1B,,M8,,,,,,,,,,,,,,PY,,,,,,,,,,,,,,,,,,,,,,,,,IN,Unknown,D,Disseminated,IN,Indeterminate,I,Indeterminate,N,,GMAU_I
-74.3242634329999,50.6271071020001,0,5025,Claudette (Zone C),4302,Claudette (Zone C),1,I,"Showing, no work",18,547795,5608577,32J09,"1992",Au,,,,,,,,,,,,,,,,,,,,,,,,"9999",Type of deposits indeterminate,R1,,M8,,V1,,V3A,,V3B,,,,,,,,PY,PO,QZ,,,,,,,,,,,,,,,,,,,,,,,UI,Irregular cylindrical,D,Disseminated,IN,Indeterminate,I,Indeterminate,N,,GMAU_I
-74.65094117,50.8617572840001,0,11481,Diléo-Nord-S09,34011,Diléo-Nord-S09,1,I,"Showing, no work",18,524566,5634510,32J15,"2007",Au,,,,,,,,,,,,Ag,,,,,,,,,,,,"9999",Type of deposits indeterminate,I1C,,I1C,,,,,,,,,,,,,,PY,,,,,,,,,,,,,,,,,,,,,,,,,IN,Unknown,D,Disseminated,IN,Indeterminate,I,Indeterminate,N,,GMAU_I
-74.7756096489999,50.8620995090001,0,11997,CT-17-06,51780,CT-17-06,1,P,Worked deposit,18,515792,5634514,32J15,"2017",Au,,,,,,,,,,,,,,,,,,,,,,,,"9999",Type of deposits indeterminate,I1B,,,,,,,,,,,,,,,,PO,PY,,,,,,,,,,,,,,,,,,,,,,,,IN,Unknown,N,Unknown,IN,Indeterminate,I,Indeterminate,N,,GMAU_P
-74.2488126559999,50.9366065740001,0,12323,Larabel,59375,Larabel,1,P,Worked deposit,18,552782,5643044,32J16,"2019",Au,,,,,,,,,,,,Ag,Cu,,,,,,,,,,,"1520",Orogenic auriferous veins,V3B,,,,,,,,,,,,,,,,PY,PO,QZ,,,,,,,,,,,,,,,,,,,,,,,IN,Unknown,D,Disseminated,IN,Indeterminate,I,Indeterminate,N,,GMAU_P
-74.5704266479999,50.9566673830001,0,12337,Éch. 3479703,59916,Éch. 3479703,1,I,"Showing, no work",18,530171,5645094,32J15,"2019",Au,,,,,,,,,,,,,,,,,,,,,,,,"1520",Orogenic auriferous veins,V3,,,,,,,,,,,,,,,,PY,,,,,,,,,,,,,,,,,,,,,,,,,IN,Unknown,N,Unknown,IN,Indeterminate,I,Indeterminate,N,,GMAU_I
-74.723160591,50.7377419350001,0,12340,Regnault,60196,Regnault,1,P,Worked deposit,18,519535,5620698,32J10,"2020",Au,Ag,,,,,,,,,,,,,,,,,,,,,,,"1520",Orogenic auriferous veins,R1,,I2J,,V2,,,,,,,,,,,,Au,QZ,PY,GL,CB,CP,,,,,,,,,,,,,,,,,,,,LI,Irregular lenticular,D,Disseminated,MJ,Major,F,In fault or shear,N,,GMAU_P
-74.7306759249999,50.8604037690001,0,12380,MT2,61290,MT2,1,P,Worked deposit,18,518955,5634336,32J15,"2020",Au,,,,,,,,,,,,Cu,Ag,,,,,,,,,,,"1520",Orogenic auriferous veins,R1,,V2,,,,,,,,,,,,,,CP,PY,QZ,,,,,,,,,,,,,,,,,,,,,,,IN,Unknown,D,Disseminated,MJ,Major,V,Vein,N,,GMAU_P
-74.7299158359999,50.7188186430001,0,12381,Regnault Sud,61307,Regnault Sud,1,P,Worked deposit,18,519066,5618592,32J10,"2020",Au,Cu,,,,,,,,,,,Ag,,,,,,,,,,,,"1520",Orogenic auriferous veins,R1,,I3,,V2,,,,,,,,,,,,Au,PY,CP,SP,QZ,CB,,,,,,,,,,,,,,,,,,,,LI,Irregular lenticular,D,Disseminated,MJ,Major,V,Vein,N,,GMAU_P
-74.5472627849999,50.8568148570001,0,12512,T-Rex,64270,T-Rex,1,I,"Showing, no work",18,531866,5634000,32J15,"2019",Au,Cu,,,,,,,,,,,Ag,,,,,,,,,,,,"1520",Orogenic auriferous veins,R1,,F2,,I3A,,,,,,,,,,,,PO,CP,,,,,,,,,,,,,,,,,,,,,,,,LI,Irregular lenticular,S,Semi-massive,MJ,Major,F,In fault or shear,N,,GMAU_I
-74.4634227259999,51.0312500090001,0,12534,Lac Allonge-SW,65168,Lac Allonge-SW,1,P,Worked deposit,18,537626,5653437,32O01,"2021",Au,,,,,,,,,,,,Ag,,,,,,,,,,,,"1520",Orogenic auriferous veins,I2J,,R1,,,,,,,,,,,,,,PY,FP,QZ,,,,,,,,,,,,,,,,,,,,,,,IN,Unknown,N,Unknown,IN,Indeterminate,I,Indeterminate,N,,GMAU_P
