X,Y,SITE_CODE,SITE_TITLE,SHORT_NAME,SITE_COMMO,SITE_TYPE_,SITE_SUB_T,SITE_STAGE,TARGET_COM,COMMODITY_,PROJ_CODE,PROJ_TITLE,WEB_LINK,EXTRACT_DA,Au_SITES,Longitude,Latitude
124.791947344638,-28.9105682647812,S0226000,Voodoo Child,Voodoo Child,Au,Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J02723,Tropicana,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0226000,2021/03/15,Au Prospect,124.7919473000,-28.9105682000
124.560055382435,-29.2451322709327,S0224969,Boston Shaker,Boston Shaker,"Au, Ag",Mine,Openpit,Care and Maintenance,GOLD,PRECIOUS METAL,J02723,Tropicana,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0224969,2021/03/15,Au Mine,124.5600553000,-29.2451322000
124.54826438409,-29.2501722711821,S0225821,Swizzler - Tropicana South,Swizzler,Au,Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J02723,Tropicana,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0225821,2021/03/15,Au Prospect,124.5482643000,-29.2501722000
124.53667538623,-29.2761412715483,S0225822,Crouching Tiger,Crouching Tiger,Au,Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J02723,Tropicana,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0225822,2021/03/15,Au Prospect,124.5366753000,-29.2761412000
124.518850384138,-29.0962162708516,S0231280,Phoenix West,Phoenix West,Au,Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J02723,Tropicana,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0231280,2021/03/15,Au Prospect,124.5188503000,-29.0962162000
124.521305391796,-29.4214842726688,S0231281,Beetle Juice,Beetle Juice,Au,Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J02723,Tropicana,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0231281,2021/03/15,Au Prospect,124.5213053000,-29.4214842000
124.521305391796,-29.4214842726688,S0231282,Beetle Juice Nickel,Beetle Juice Nickel,"Ni, Au, PGE, Cu, Ag",Prospect,Drillhole,Undeveloped,NICKEL,STEEL ALLOY METAL,J02723,Tropicana,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0231282,2021/03/15,Au Unclassified,124.5213053000,-29.4214842000
124.490229397156,-29.4737492735544,S0231283,Madras - Tropicana,Madras,Au,Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J02723,Tropicana,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0231283,2021/03/15,Au Prospect,124.4902293000,-29.4737492000
124.352223415954,-29.501224276368,S0231285,Iceberg,Iceberg,Au,Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J02723,Tropicana,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0231285,2021/03/15,Au Prospect,124.3522234000,-29.5012242000
124.570594380636,-29.2273702706342,S0231286,Springbok,Springbok,Au,Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J02723,Tropicana,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0231286,2021/03/15,Au Prospect,124.5705943000,-29.2273702000
124.444615401843,-29.4219862741286,S0231287,Monsoon - Tropicana,Monsoon,Au,Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J02723,Tropicana,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0231287,2021/03/15,Au Prospect,124.4446154000,-29.4219862000
124.905329327448,-28.7904292621001,S0225357,Atlantis - Tropicana East,Atlantis,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J03755,Thunderstruck - Tropicana East,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0225357,2021/03/15,Au Prospect,124.9053293000,-28.7904292000
124.87152733072,-28.7443542624178,S0224046,Neale,Neale,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J03755,Thunderstruck - Tropicana East,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0224046,2021/03/15,Au Prospect,124.8715273000,-28.7443542000
124.937572322086,-28.7334972612142,S0224047,Hercules - Tropicana East,Hercules,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J03755,Thunderstruck - Tropicana East,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0224047,2021/03/15,Au Prospect,124.9375723000,-28.7334972000
124.307970419805,-29.4252352768056,S0239008,Don King,Don King,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J03755,Thunderstruck - Tropicana East,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0239008,2021/03/15,Au Prospect,124.3079704000,-29.4252352000
124.762395351142,-29.0283892659888,S0232707,Red Dragon - Silver Dragon,Red Dragon,"Au, Ag, Cu, Ni",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J04677,Biranup / VRX,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0232707,2021/03/15,Au Prospect,124.7623953000,-29.0283892000
124.72379535592,-29.0202952666343,S0232709,Ice Dragon / Ventnor,Ice Dragon,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J04677,Biranup / VRX,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0232709,2021/03/15,Au Prospect,124.7237953000,-29.0202952000
124.776773347812,-28.9640612653603,S0233321,North Dragon / Ventnor,North Dragon,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J04677,Biranup / VRX,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0233321,2021/03/15,Au Prospect,124.7767733000,-28.9640612000
124.686121363214,-29.124258267915,S0233325,Fire Dragon / Ventnor,Fire Dragon,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J04677,Biranup / VRX,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0233325,2021/03/15,Au Prospect,124.6861213000,-29.1242582000
124.752873351998,-29.0124692660669,S0224443,Black Dragon / Ventnor,Black Dragon,"Au, Ag",Prospect,Other,Undeveloped,GOLD,PRECIOUS METAL,J04677,Biranup / VRX,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0224443,2021/03/15,Au Prospect,124.7528733000,-29.0124692000
