X,Y,SITE_CODE,SITE_TITLE,SHORT_NAME,SITE_COMMO,SITE_TYPE_,SITE_SUB_T,SITE_STAGE,TARGET_COM,COMMODITY_,PROJ_CODE,PROJ_TITLE,WEB_LINK,EXTRACT_DA,Ag_SITES
123.743213178228,-28.3035273077359,S0237135,Satriani - Wanderrie Camp,Satriani - Wanderrie Camp,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J01858,Yamarna / Gold Road,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0237135,2021/03/15,Ag Unclassified
123.722826371494,-28.2598312596985,S0237136,Santana - Wanderrie Camp,Santana - Wanderrie Camp,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J01858,Yamarna / Gold Road,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0237136,2021/03/15,Ag Unclassified
123.764018046133,-28.3376953433944,S0236664,Gilmour - Wanderrie Camp,Gilmour - Wanderrie Camp,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J01858,Yamarna / Gold Road,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0236664,2021/03/15,Ag Unclassified
124.00210715785,-28.4751093603841,S0237586,Landmark,Landmark,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J01858,Yamarna / Gold Road,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0237586,2021/03/15,Ag Unclassified
123.732564300049,-28.2766042733753,S0237587,Page-Hendrix,Page-Hendrix,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J01858,Yamarna / Gold Road,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0237587,2021/03/15,Ag Unclassified
123.889573481153,-28.5619703657323,S0231015,Minnie Hill,Minnie Hill,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J01858,Yamarna / Gold Road,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0231015,2021/03/15,Ag Unclassified
123.874480462456,-28.5286863647273,S0231016,Breelya - Toppin Hill Camp,Breelya - Toppin Hill Camp,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J01858,Yamarna / Gold Road,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0231016,2021/03/15,Ag Unclassified
123.896870473206,-28.5819783685852,S0231574,Minnie Hill South,Minnie Hill S,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J01858,Yamarna / Gold Road,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0231574,2021/03/15,Ag Unclassified
123.868960310617,-28.4616873597665,S0232144,Smokebush - Smokebush Camp,Smokebush,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J01858,Yamarna / Gold Road,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0232144,2021/03/15,Ag Unclassified
123.921301452382,-28.6919583819799,S0226103,Pine Valley,Pine Valley,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J01858,Yamarna / Gold Road,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0226103,2021/03/15,Ag Unclassified
124.003379488514,-28.6876133523655,S0226104,Pebble Beach,Pebble Beach,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J01858,Yamarna / Gold Road,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0226104,2021/03/15,Ag Unclassified
123.960315475985,-28.651899362638,S0226105,St Andrews - Yamarna,St Andrews,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J01858,Yamarna / Gold Road,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0226105,2021/03/15,Ag Unclassified
123.571618521172,-27.9489560750223,S0223015,Renegade,Renegade,"Au, Ag",Deposit,Unspecified,Undeveloped,GOLD,PRECIOUS METAL,J01858,Yamarna / Gold Road,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0223015,2021/03/15,Ag Unclassified
123.946365544157,-28.5279043313977,S0238788,Kingston - Spearwood Camp,Kingston,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J01858,Yamarna / Gold Road,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0238788,2021/03/15,Ag Unclassified
124.031309993254,-28.4275501613257,S0238789,Savoie,Savoie,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J01858,Yamarna / Gold Road,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0238789,2021/03/15,Ag Unclassified
124.041077897692,-28.3823453552935,S0238790,Beefwood,Beefwood,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J01858,Yamarna / Gold Road,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0238790,2021/03/15,Ag Unclassified
123.747752142995,-28.3124113172541,S0238099,Rocha - Wanderrie Camp,Rocha - Wanderrie Camp,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J01858,Yamarna / Gold Road,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0238099,2021/03/15,Ag Unclassified
123.870212516284,-28.470330324018,S0238100,Fortuna - Smokebush Camp,Fortuna,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J01858,Yamarna / Gold Road,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0238100,2021/03/15,Ag Unclassified
123.648308656542,-28.1398451744332,S0237252,Orleans,Orleans,"Au, Ag",Deposit,Unspecified,Undeveloped,GOLD,PRECIOUS METAL,J04673,Yamarna - Gruyere JV,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0237252,2021/03/15,Ag Unclassified
123.700665880876,-28.1540821249529,S0225252,Justinian,Justinian,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J04673,Yamarna - Gruyere JV,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0225252,2021/03/15,Ag Unclassified
123.696319854902,-28.1561261347741,S0224204,Central Bore - Yamarna,Central Bore,"Au, Ag",Prospect,Unspecified,Undeveloped,GOLD,PRECIOUS METAL,J04673,Yamarna - Gruyere JV,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0224204,2021/03/15,Ag Unclassified
123.678644640755,-28.2037492160788,S0224205,Elvis - Yamarna,Elvis,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J04673,Yamarna - Gruyere JV,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0224205,2021/03/15,Ag Unclassified
123.631281592036,-28.0940202006265,S0224346,Montagne,Montagne,"Au, Ag",Deposit,Unspecified,Undeveloped,GOLD,PRECIOUS METAL,J04673,Yamarna - Gruyere JV,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0224346,2021/03/15,Ag Unclassified
123.637044577844,-28.1132662117185,S0224347,Argos,Argos,"Au, Ag",Deposit,Unspecified,Undeveloped,GOLD,PRECIOUS METAL,J04673,Yamarna - Gruyere JV,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0224347,2021/03/15,Ag Unclassified
123.665598650265,-28.1790192026628,S0004935,Attila South,Attila South,"Au, Ag",Deposit,Unspecified,Undeveloped,GOLD,PRECIOUS METAL,J04673,Yamarna - Gruyere JV,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0004935,2021/03/15,Ag Unclassified
123.655880664032,-28.1552871821833,S0020698,Attila,Attila,"Au, Ag",Deposit,Unspecified,Undeveloped,GOLD,PRECIOUS METAL,J04673,Yamarna - Gruyere JV,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0020698,2021/03/15,Ag Unclassified
123.624183595063,-28.0810991945032,S0020699,Alaric,Alaric,"Au, Ag",Deposit,Unspecified,Undeveloped,GOLD,PRECIOUS METAL,J04673,Yamarna - Gruyere JV,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0020699,2021/03/15,Ag Unclassified
